Date;ME_Power;ME_RPM
17/03/2021;9625;86
30/09/2020;9600;86
15/04/2020;9583;86
02/10/2020;9583;86
13/11/2020;9565;86
15/11/2020;9565;86
25/10/2016;9560;86
12/04/2020;9560;86
16/04/2020;9560;86
01/01/2020;9557;86
29/09/2020;9542;86
01/10/2020;9542;86
16/03/2021;9542;86
01/05/2016;9539;86
12/05/2018;9533;86
25/03/2021;9500;86
27/03/2021;9500;86
31/07/2018;9499;86
01/08/2018;9499;86
03/08/2018;9499;86
04/08/2018;9499;86
26/03/2021;9480;86
14/09/2020;9458;86
09/10/2020;9440;86
12/08/2017;9432;86
03/02/2020;9432;86
05/02/2020;9432;86
29/01/2017;9417;86
26/10/2016;9375;86
23/03/2021;9375;86
18/11/2016;9333;86
29/07/2017;9330;86
21/11/2019;9330;86
23/11/2019;9330;86
07/10/2020;9320;86
25/05/2017;9310;86
22/11/2019;9310;86
24/03/2021;9280;86
05/08/2017;9229;86
06/07/2016;9218;86
31/01/2017;9218;86
14/12/2020;9208;86
02/02/2017;9167;86
16/12/2020;9167;86
08/07/2016;9130;86
15/03/2021;9130;86
29/10/2018;9127;86
01/12/2018;9127;86
07/07/2016;9125;86
23/02/2017;9120;86
31/03/2017;9087;86
15/12/2020;9087;86
23/01/2016;9059;86
08/01/2016;9056;86
31/01/2016;9021;86
20/01/2017;9000;86
17/11/2016;8957;86
01/02/2016;8928;86
06/08/2017;8925;86
14/09/2016;8921;86
26/01/2016;8887;86
26/05/2017;8874;86
20/01/2016;8817;86
26/03/2016;8708;86
02/02/2016;8706;86
03/02/2016;8706;86
08/02/2016;8677;86
21/01/2016;8676;86
29/01/2016;8648;86
20/06/2017;8620;86
10/01/2016;8569;86
12/01/2016;8555;86
13/01/2016;8534;86
24/01/2016;8267;86
13/02/2016;8174;86
21/08/2019;12376;85
08/09/2019;12376;85
08/11/2019;11900;85
24/10/2018;11257;85
24/01/2021;10583;85
08/04/2018;10511;85
31/01/2021;10333;85
24/09/2019;10243;85
28/03/2016;10226;85
06/04/2018;10142;85
08/12/2020;10136;85
06/01/2021;10083;85
30/10/2018;10040;85
17/03/2019;10039;85
15/06/2018;10000;85
10/06/2017;9939;85
12/03/2019;9920;85
15/12/2019;9898;85
03/07/2019;9837;85
07/02/2020;9808;85
03/03/2019;9800;85
27/07/2020;9792;85
18/10/2020;9792;85
05/06/2017;9787;85
27/03/2016;9763;85
17/02/2021;9755;85
17/10/2020;9720;85
21/02/2019;9699;85
12/02/2020;9683;85
14/10/2020;9640;85
30/11/2018;9634;85
05/07/2019;9634;85
29/04/2017;9604;85
12/10/2020;9600;85
26/04/2017;9584;85
16/10/2020;9583;85
15/10/2020;9560;85
02/02/2020;9557;85
08/10/2020;9542;85
10/11/2019;9533;85
17/11/2019;9533;85
27/07/2018;9500;85
01/05/2017;9482;85
11/11/2019;9482;85
13/10/2020;9458;85
22/03/2021;9458;85
19/10/2020;9440;85
01/02/2020;9432;85
10/10/2020;9417;85
10/06/2018;9400;85
16/02/2021;9394;85
19/08/2019;9381;85
20/08/2019;9381;85
25/08/2019;9381;85
21/09/2019;9381;85
12/11/2019;9381;85
29/03/2017;9364;85
14/12/2019;9361;85
09/07/2019;9330;85
17/08/2019;9330;85
30/08/2019;9330;85
31/08/2019;9330;85
27/08/2019;9310;85
29/08/2019;9310;85
21/12/2019;9306;85
31/01/2020;9306;85
04/02/2020;9306;85
24/02/2017;9291;85
28/04/2017;9279;85
24/08/2019;9259;85
28/08/2019;9259;85
30/01/2017;9250;85
23/08/2019;9249;85
24/08/2017;9229;85
15/08/2019;9229;85
18/08/2019;9229;85
19/11/2016;9218;85
21/07/2018;9200;85
25/07/2018;9200;85
26/07/2018;9200;85
06/02/2020;9180;85
11/02/2020;9180;85
16/08/2019;9178;85
30/06/2019;9127;85
09/11/2019;9127;85
22/07/2018;9100;85
23/07/2018;9100;85
24/07/2018;9100;85
01/02/2017;9083;85
18/02/2019;9042;85
14/11/2016;9004;85
06/11/2019;8945;85
30/01/2020;8928;85
19/01/2016;8867;85
28/03/2017;8766;85
09/01/2016;8681;85
22/01/2016;8676;85
18/01/2016;8671;85
28/01/2016;8648;85
30/01/2016;8648;85
19/02/2018;8620;85
29/11/2018;8620;85
05/12/2018;8620;85
01/03/2016;8613;85
17/10/2016;8480;85
16/10/2016;8417;85
18/07/2018;8350;85
25/08/2016;8333;85
17/01/2016;8324;85
04/01/2018;8300;85
16/01/2016;8289;85
15/01/2016;8266;85
12/02/2016;8174;85
02/03/2016;8166;85
22/08/2019;1244;85
13/08/2019;11900;84
16/04/2019;11039;84
14/05/2018;10750;84
06/06/2018;10699;84
17/02/2020;10374;84
23/11/2016;10359;84
07/01/2020;10312;84
15/06/2017;10229;84
09/08/2018;10171;84
09/03/2019;10159;84
14/04/2020;10000;84
27/09/2019;9939;84
10/12/2019;9848;84
29/09/2019;9685;84
27/02/2019;9669;84
15/07/2017;9634;84
25/09/2019;9634;84
02/11/2019;9604;84
03/11/2020;9556;84
08/03/2019;9540;84
30/07/2019;9533;84
17/09/2019;9533;84
18/09/2019;9533;84
03/10/2019;9533;84
18/03/2019;9499;84
30/03/2017;9491;84
13/12/2019;9472;84
26/02/2019;9450;84
08/02/2020;9432;84
10/02/2020;9432;84
12/06/2018;9400;84
29/02/2020;9391;84
28/07/2017;9381;84
25/07/2019;9330;84
26/07/2019;9330;84
26/01/2020;9306;84
29/01/2020;9306;84
05/04/2020;9304;84
14/06/2018;9300;84
20/11/2016;9250;84
20/01/2019;9229;84
15/11/2019;9229;84
27/04/2017;9178;84
07/08/2019;9168;84
21/11/2016;9167;84
13/02/2018;9127;84
10/07/2019;9127;84
03/02/2017;9087;84
27/01/2020;9054;84
17/01/2017;9000;84
07/01/2016;8995;84
22/11/2016;8957;84
05/08/2019;8925;84
06/08/2019;8884;84
02/05/2017;8874;84
24/01/2018;8849;84
02/07/2019;8823;84
22/02/2018;8722;84
14/02/2019;8680;84
24/05/2017;8671;84
11/02/2016;8670;84
05/07/2016;8625;84
15/01/2017;8583;84
29/02/2016;8567;84
12/09/2016;8542;84
13/02/2017;8500;84
16/01/2017;8480;84
09/07/2016;8375;84
13/09/2016;8348;84
20/07/2016;8291;84
03/03/2016;8246;84
14/01/2016;8182;84
08/01/2018;8100;84
28/10/2016;8083;84
06/09/2016;7913;84
05/05/2018;7809;84
19/02/2016;11970;83
14/08/2019;11900;83
30/05/2018;10916;83
16/04/2018;10851;83
14/02/2020;10438;83
09/01/2020;10312;83
19/02/2021;10236;83
15/02/2018;10091;83
23/09/2019;9823;83
09/11/2020;9750;83
14/07/2017;9736;83
18/01/2020;9683;83
19/09/2019;9665;83
02/02/2018;9634;83
26/09/2019;9584;83
27/02/2020;9565;83
07/03/2019;9540;83
30/09/2019;9482;83
27/07/2019;9330;83
14/03/2021;9207;83
15/02/2019;9170;83
16/02/2019;9170;83
19/01/2017;9160;83
20/07/2018;9000;83
11/02/2019;8930;83
16/02/2016;8926;83
22/09/2019;8925;83
24/03/2020;8833;83
11/07/2019;8823;83
28/07/2019;8823;83
12/09/2020;8808;83
21/01/2017;8750;83
23/01/2018;8749;83
27/01/2017;8732;83
08/04/2020;8723;83
22/01/2018;8699;83
25/02/2017;8646;83
16/01/2018;8599;83
19/01/2018;8599;83
20/01/2018;8599;83
04/05/2017;8570;83
11/01/2016;8569;83
18/02/2018;8519;83
22/02/2017;8516;83
04/02/2017;8469;83
07/05/2017;8468;83
03/05/2017;8417;83
11/09/2017;8417;83
12/07/2019;8417;83
26/03/2017;8378;83
13/04/2017;8367;83
04/07/2016;8304;83
11/07/2016;8291;83
07/09/2017;8215;83
05/01/2018;8200;83
11/01/2018;8200;83
19/08/2020;8182;83
11/02/2018;8113;83
06/01/2018;8100;83
07/01/2018;8100;83
10/01/2018;8100;83
12/01/2018;8100;83
09/01/2018;8000;83
27/03/2017;7956;83
22/03/2017;7938;83
22/02/2016;7916;83
10/07/2016;7913;83
25/03/2017;7895;83
24/03/2017;7845;83
18/03/2016;7731;83
23/02/2016;7713;83
27/02/2016;7667;83
20/02/2016;7641;83
21/02/2016;7558;83
12/02/2018;7505;83
20/03/2017;7491;83
18/03/2020;5333;83
21/02/2018;10649;82
13/02/2020;10060;82
28/09/2019;9594;82
14/05/2019;9432;82
19/07/2019;9432;82
13/12/2020;9347;82
25/12/2018;9330;82
18/01/2017;9209;82
04/03/2019;9050;82
01/10/2019;9026;82
04/09/2017;8925;82
13/05/2020;8921;82
11/06/2018;8900;82
19/03/2019;8900;82
16/06/2018;8800;82
05/03/2019;8799;82
05/05/2020;8756;82
21/03/2021;8680;82
13/07/2017;8671;82
17/01/2018;8650;82
27/01/2016;8648;82
21/01/2018;8599;82
17/06/2018;8599;82
22/06/2018;8599;82
02/11/2017;8580;82
02/07/2016;8560;82
26/06/2017;8519;82
27/06/2017;8519;82
01/07/2019;8519;82
13/06/2018;8499;82
20/06/2018;8499;82
28/06/2017;8417;82
20/09/2017;8417;82
28/10/2017;8410;82
05/01/2016;8370;82
14/01/2017;8360;82
30/10/2017;8350;82
08/09/2017;8316;82
12/09/2017;8316;82
24/10/2017;8300;82
25/01/2016;8267;82
13/09/2017;8265;82
09/09/2017;8215;82
14/09/2017;8215;82
16/09/2017;8113;82
17/09/2017;8113;82
18/09/2017;8113;82
13/01/2018;8100;82
14/01/2018;8100;82
14/08/2018;8100;82
29/11/2016;8083;82
15/09/2017;8063;82
28/02/2016;8033;82
08/07/2017;8012;82
05/02/2017;8000;82
26/10/2017;8000;82
30/11/2017;8000;82
20/03/2016;7989;82
06/05/2017;7961;82
05/09/2017;7910;82
04/11/2017;7899;82
13/07/2016;7875;82
26/02/2016;7819;82
07/12/2016;7792;82
19/03/2016;7731;82
03/08/2016;7696;82
17/03/2017;7631;82
15/03/2017;7629;82
21/03/2017;7626;82
19/09/2017;7606;82
24/08/2016;7600;82
14/03/2017;7563;82
11/03/2017;7552;82
16/03/2017;7547;82
12/03/2017;7543;82
13/03/2017;7536;82
12/10/2016;7458;82
14/11/2015;7409;82
13/05/2016;7372;82
18/03/2017;7364;82
02/09/2016;7130;82
05/02/2018;7099;82
30/07/2016;7087;82
02/08/2016;10114;81
28/04/2018;9520;81
13/05/2019;9330;81
13/02/2019;9170;81
17/02/2019;9170;81
09/11/2016;9134;81
06/02/2018;9127;81
06/03/2019;9050;81
22/01/2017;8960;81
02/10/2019;8925;81
25/03/2016;8892;81
29/07/2019;8823;81
20/05/2020;8696;81
23/03/2020;8667;81
20/07/2017;8620;81
25/01/2018;8599;81
19/05/2020;8583;81
01/11/2017;8499;81
27/01/2018;8460;81
24/05/2019;8417;81
11/09/2020;8378;81
29/06/2017;8316;81
06/09/2017;8316;81
21/03/2016;8304;81
23/10/2017;8300;81
10/09/2017;8164;81
27/10/2017;8150;81
31/10/2017;8119;81
30/06/2017;8113;81
01/07/2017;8113;81
22/09/2017;8113;81
31/07/2019;8113;81
05/05/2017;8063;81
24/11/2016;8042;81
07/07/2017;8012;81
12/02/2017;8000;81
25/10/2017;8000;81
06/11/2017;8000;81
29/11/2017;8000;81
15/08/2018;8000;81
03/07/2016;7980;81
25/03/2020;7917;81
05/11/2017;7899;81
11/02/2017;7869;81
20/08/2016;7840;81
30/11/2016;7783;81
16/08/2016;7760;81
06/07/2017;7708;81
16/10/2017;7699;81
23/02/2018;7606;81
22/08/2016;7560;81
27/05/2017;7560;81
19/03/2017;7501;81
12/07/2016;7391;81
24/03/2016;7377;81
01/04/2020;7333;81
14/07/2016;7304;81
05/09/2016;7291;81
30/12/2016;7250;81
06/03/2017;7162;81
09/03/2017;7153;81
23/05/2016;7124;81
11/10/2016;7083;81
31/12/2016;7080;81
01/01/2017;7042;81
12/01/2017;7042;81
31/07/2016;6834;81
14/04/2017;6599;81
17/02/2018;10649;80
15/05/2019;9736;80
18/09/2016;9579;80
26/09/2018;9499;80
01/08/2017;9330;80
